question;answer1;isRight1;answer2;isRight2;answer3;isRight3;answer4;isRight4
Quel est le climat dominant au Burkina Faso ?;Climat tropical sec;true;Climat équatorial;false;Climat méditerranéen;false;Climat polaire;false
Combien de saisons principales distingue-t-on au Burkina Faso ?;Deux saisons;true;Quatre saisons;false;Une seule saison;false;Trois saisons;false
Quelle saison est caractérisée par de fortes pluies ?;La saison des pluies;true;La saison sèche;false;L’hiver;false;Le printemps;false
Quelle est la période approximative de la saison des pluies ?;De mai à octobre;true;De novembre à février;false;De janvier à mars;false;Toute l’année;false
Quel vent chaud souffle pendant la saison sèche ?;L’harmattan;true;Le mistral;false;Le sirocco;false;L’alizé;false
Quelle est la principale caractéristique du relief du Burkina Faso ?;Relief plat à légèrement ondulé;true;Relief montagneux élevé;false;Relief volcanique;false;Relief glaciaire;false
Quel est le point culminant du Burkina Faso ?;Le mont Ténakourou;true;Le mont Everest;false;Le mont Kilimandjaro;false;Le mont Cameroun;false
Dans quelle région se trouve le mont Ténakourou ?;À l’ouest du pays;true;Au nord du pays;false;À l’est du pays;false;Au centre;false
Quel type de paysage domine au Burkina Faso ?;Savane;true;Forêt tropicale dense;false;Désert de sable;false;Toundra;false
Quelle est la principale conséquence de la saison sèche ?;La sécheresse;true;Les inondations;false;Les chutes de neige;false;Les cyclones;false
Quelle est la température moyenne au Burkina Faso ?;Élevée toute l’année;true;Très basse;false;Variable avec neige;false;Toujours négative;false
Quel phénomène climatique réduit la visibilité en saison sèche ?;La poussière de l’harmattan;true;Le brouillard marin;false;La neige;false;La pluie;false
Quel type de sol est fréquent au Burkina Faso ?;Sols latéritiques;true;Sols glaciaires;false;Sols volcaniques récents;false;Sols marins;false
Quelle zone du Burkina Faso est la plus aride ?;Le nord;true;Le sud;false;L’ouest;false;Le centre;false
Pourquoi l’agriculture dépend-elle fortement du climat ?;À cause des pluies irrégulières;true;À cause du froid;false;À cause de la neige;false;À cause des marées;false